형태소,품사,분류,카운트
on,IN,BLACKPINK,23
on,IN,Lady Gaga & BLACKPINK,5
once,RB,BLACKPINK,3
one,CD,BLACKPINK,4
only,JJ,BLACKPINK,2
only,RB,BLACKPINK,9
ooh,MD,BLACKPINK,1
ooh,VB,BLACKPINK,1
or,CC,BLACKPINK,6
out,IN,BLACKPINK,1
out,RP,BLACKPINK,14
outside,JJ,Lady Gaga & BLACKPINK,4
outta,NN,BLACKPINK,2
over,IN,BLACKPINK,8
owe,VBP,BLACKPINK,1
own,JJ,BLACKPINK,1
paradise,NN,BLACKPINK,1
part,NN,BLACKPINK,1
party,NN,BLACKPINK,2
pay,VB,BLACKPINK,1
peek,VB,Lady Gaga & BLACKPINK,1
pick,VB,BLACKPINK,1
piece,NN,BLACKPINK,1
ping,VBG,BLACKPINK,1
pink,NN,BLACKPINK,1
place,NN,BLACKPINK,1
plane,NN,BLACKPINK,1
play,NN,BLACKPINK,2
play,VB,BLACKPINK,6
playlist,NN,BLACKPINK,1
please,NN,BLACKPINK,1
plus,VBP,BLACKPINK,1
pong,JJ,BLACKPINK,1
poppin,VBN,BLACKPINK,1
pretend,NN,BLACKPINK,1
pretty,JJ,BLACKPINK,5
pretty,NN,BLACKPINK,1
pretty,RB,BLACKPINK,7
price,NN,BLACKPINK,1
priceless,NN,BLACKPINK,1
prince,NN,BLACKPINK,1
princess,NN,BLACKPINK,1
problem,NN,BLACKPINK,1
program,NN,BLACKPINK,1
psycho,NN,Lady Gaga & BLACKPINK,2
puddles,NNS,BLACKPINK,1
pump,VBP,BLACKPINK,1
put,VB,BLACKPINK,1
quit,VBP,BLACKPINK,1
ra,NN,BLACKPINK,3
racks,NNS,BLACKPINK,2
rain,VBZ,BLACKPINK,1
rather,RB,BLACKPINK,1
re,NNS,BLACKPINK,1
re,VB,BLACKPINK,11
real,JJ,BLACKPINK,10
real,JJ,Lady Gaga & BLACKPINK,1
really,RB,BLACKPINK,37
recycle,NN,BLACKPINK,2
red,JJ,BLACKPINK,1
regular,JJ,BLACKPINK,1
relate,NN,BLACKPINK,2
relax,NN,BLACKPINK,1
replace,VB,BLACKPINK,1
ride,VBP,BLACKPINK,2
right,JJ,BLACKPINK,2
right,NN,BLACKPINK,1
right,RB,BLACKPINK,3
rings,NNS,BLACKPINK,1
romance,NN,BLACKPINK,1
roses,NNS,BLACKPINK,1
run,NN,BLACKPINK,2
run,RB,BLACKPINK,4
run,VB,BLACKPINK,5
run,VBN,BLACKPINK,4
s,JJ,BLACKPINK,5
s,NN,BLACKPINK,2
s,RB,BLACKPINK,2
s,VB,BLACKPINK,4
s,VBD,BLACKPINK,2
s,VBZ,BLACKPINK,7
sad,JJ,BLACKPINK,2
sad,VBD,BLACKPINK,1
sadly,RB,BLACKPINK,1
said,VBD,BLACKPINK,3
same,JJ,BLACKPINK,3
savage,JJ,BLACKPINK,2
savage,NN,BLACKPINK,4
saw,VBD,BLACKPINK,2
say,VB,BLACKPINK,4
say,VBP,BLACKPINK,2
sayin,VBN,BLACKPINK,2
scoop,VB,BLACKPINK,1
see,VB,BLACKPINK,22
see,VBP,Lady Gaga & BLACKPINK,2
seek,NN,BLACKPINK,1
sees,VBZ,BLACKPINK,3
set,VBD,BLACKPINK,1
set,VBP,BLACKPINK,2
she,PRP,BLACKPINK,1
shhh,NN,BLACKPINK,1
shine,NN,BLACKPINK,5
shine,VB,BLACKPINK,1
shoes,NNS,BLACKPINK,3
shot,NN,BLACKPINK,3
should,MD,BLACKPINK,5
show,JJ,BLACKPINK,1
show,VB,Lady Gaga & BLACKPINK,1
show,VBP,BLACKPINK,4
shows,NNS,BLACKPINK,1
sight,NN,BLACKPINK,2
sinner,NN,BLACKPINK,1
sip,VBD,BLACKPINK,1
skinny,VBD,BLACKPINK,1
sky,NN,BLACKPINK,3
slippin,NN,BLACKPINK,1
slow,JJ,BLACKPINK,2
slow,VB,BLACKPINK,1
smart,VBP,BLACKPINK,1
smooth,NN,BLACKPINK,2
snake,NN,BLACKPINK,1
sneak,JJ,BLACKPINK,1
so,IN,BLACKPINK,6
so,RB,BLACKPINK,20
some,DT,BLACKPINK,10
something,NN,BLACKPINK,4
song,NN,BLACKPINK,1
sorry,JJ,BLACKPINK,3
sorry,NN,BLACKPINK,2
sour,JJ,Lady Gaga & BLACKPINK,4
splash,NN,BLACKPINK,3
splish,JJ,BLACKPINK,3
stack,NN,BLACKPINK,1
stacks,NNS,BLACKPINK,1
stakes,NNS,BLACKPINK,1
stars,NNS,BLACKPINK,1
stay,JJ,BLACKPINK,3
stay,NN,BLACKPINK,8
stay,VB,BLACKPINK,3
stay,VBP,BLACKPINK,1
still,RB,BLACKPINK,4
stone,NN,BLACKPINK,1
stupid,JJ,BLACKPINK,2
stylin,NN,BLACKPINK,1
sun,NN,BLACKPINK,1
sunset,VBD,BLACKPINK,1
super,JJ,Lady Gaga & BLACKPINK,2
sure,JJ,BLACKPINK,2
swallowed,VBN,BLACKPINK,1
sweat,NN,BLACKPINK,1
sweet,JJ,BLACKPINK,4
sweet,JJ,Lady Gaga & BLACKPINK,2
sweet,NN,BLACKPINK,1
t,IN,BLACKPINK,1
t,JJ,BLACKPINK,10
t,NN,BLACKPINK,65
t,NNP,BLACKPINK,1
t,RB,BLACKPINK,2
ta,JJ,BLACKPINK,1
ta,NN,BLACKPINK,3
ta,RB,BLACKPINK,5
take,NN,Lady Gaga & BLACKPINK,4
take,VB,BLACKPINK,4
taken,VBN,BLACKPINK,1
takin,NN,BLACKPINK,3
taking,VBG,BLACKPINK,2
taste,NN,BLACKPINK,1
taste,NN,Lady Gaga & BLACKPINK,1
tell,VB,BLACKPINK,6
tellin,JJ,BLACKPINK,1
test,IN,BLACKPINK,2
than,IN,BLACKPINK,3
that,DT,BLACKPINK,31
that,IN,BLACKPINK,29
that,WDT,BLACKPINK,12
the,DT,BLACKPINK,58
the,DT,Lady Gaga & BLACKPINK,6
them,PRP,BLACKPINK,3
then,RB,Lady Gaga & BLACKPINK,4
there,RB,BLACKPINK,1
they,PRP,BLACKPINK,11
thick,JJ,BLACKPINK,1
thing,NN,BLACKPINK,3
things,NNS,BLACKPINK,1
think,VBP,BLACKPINK,1
thirsty,JJ,BLACKPINK,1
this,DT,BLACKPINK,15
three,CD,BLACKPINK,1
through,IN,BLACKPINK,4
til,NN,BLACKPINK,2
till,NN,BLACKPINK,1
time,NN,BLACKPINK,11
time,NN,Lady Gaga & BLACKPINK,4
times,NNS,BLACKPINK,1
to,TO,BLACKPINK,80
to,TO,Lady Gaga & BLACKPINK,1
together,RB,BLACKPINK,1
tonight,NN,BLACKPINK,2
too,RB,BLACKPINK,3
top,JJ,BLACKPINK,1
top,NN,BLACKPINK,2
touch,JJ,BLACKPINK,3
touch,NN,BLACKPINK,4
touch,VB,BLACKPINK,2
treat,NN,BLACKPINK,2
treats,VBZ,BLACKPINK,2
true,JJ,BLACKPINK,2
truth,NN,BLACKPINK,1
trying,VBG,BLACKPINK,3
tub,NN,BLACKPINK,2
turin,NN,BLACKPINK,1
turn,VBP,Lady Gaga & BLACKPINK,2
two,CD,BLACKPINK,1
u,JJ,BLACKPINK,39
uh,JJ,BLACKPINK,5
uh,NN,BLACKPINK,1
uh,NNP,BLACKPINK,1
uh,VBP,BLACKPINK,2
uh-huh,JJ,BLACKPINK,1
uh-huh,JJ,Lady Gaga & BLACKPINK,1
undressing,VBG,Lady Gaga & BLACKPINK,1
unless,IN,BLACKPINK,3
unwrap,IN,Lady Gaga & BLACKPINK,4
up,IN,BLACKPINK,1
up,RB,BLACKPINK,3
up,RP,BLACKPINK,28
up,RP,Lady Gaga & BLACKPINK,3
ve,JJ,BLACKPINK,1
ve,NNS,BLACKPINK,1
ve,RB,BLACKPINK,2
venom,NN,BLACKPINK,1
villain,NN,BLACKPINK,1
visa,VB,BLACKPINK,2
volume은,NN,BLACKPINK,1
waist,JJ,BLACKPINK,1
wait,NN,BLACKPINK,3
waiting,VBG,BLACKPINK,1
walk,VBP,BLACKPINK,5
wan,JJ,BLACKPINK,2
wan,NN,BLACKPINK,6
wan,VB,BLACKPINK,1
wan,VBP,BLACKPINK,34
wan,VBP,Lady Gaga & BLACKPINK,1
want,JJ,BLACKPINK,1
want,VB,BLACKPINK,6
want,VBP,BLACKPINK,7
want,VBP,Lady Gaga & BLACKPINK,1
was,VBD,BLACKPINK,6
waste,IN,BLACKPINK,1
wasting,VBG,BLACKPINK,2
waves,NNS,BLACKPINK,1
way,NN,BLACKPINK,1
we,PRP,BLACKPINK,25
weekend,NN,BLACKPINK,1
well,RB,BLACKPINK,1
wells,NNS,BLACKPINK,1
went,VBD,BLACKPINK,4
were,VBD,BLACKPINK,6
what,WP,BLACKPINK,33
what,WP,Lady Gaga & BLACKPINK,2
whatta,NN,BLACKPINK,8
wheelie,NN,BLACKPINK,1
when,WRB,BLACKPINK,8
when,WRB,Lady Gaga & BLACKPINK,2
where,WRB,BLACKPINK,5
wherever,NN,BLACKPINK,1
whistle,NN,BLACKPINK,2
whistle,NNS,BLACKPINK,3
white,JJ,BLACKPINK,2
whoa,VBP,BLACKPINK,1
whoever,IN,BLACKPINK,1
whole,JJ,BLACKPINK,1
whooo,NN,BLACKPINK,1
why,WRB,BLACKPINK,4
will,MD,BLACKPINK,1
win,VBP,BLACKPINK,1
wish,VBP,BLACKPINK,1
wishing,VBG,BLACKPINK,1
with,IN,BLACKPINK,28
without,IN,BLACKPINK,10
won,VBD,BLACKPINK,3
worth,IN,BLACKPINK,7
would,MD,BLACKPINK,1
wouldn,VBP,BLACKPINK,1
wow,VBD,Lady Gaga & BLACKPINK,1
wrist,NN,BLACKPINK,4
wrong,JJ,BLACKPINK,2
wrong,RB,BLACKPINK,1
x,NN,BLACKPINK,1
ya,JJ,BLACKPINK,2
ya,NN,BLACKPINK,3
yeah,FW,Lady Gaga & BLACKPINK,2
yeah,JJ,BLACKPINK,1
yeah,NN,BLACKPINK,8
yeah,NN,Lady Gaga & BLACKPINK,17
yeah,NNS,BLACKPINK,1
yeah,NNS,Lady Gaga & BLACKPINK,1
yeah,PRP,BLACKPINK,2
yeah,RB,BLACKPINK,3
yeah,UH,BLACKPINK,1
yellow,VBP,BLACKPINK,2
yes,RB,BLACKPINK,2
you,PRP,BLACKPINK,226
you,PRP,Lady Gaga & BLACKPINK,8
young,JJ,BLACKPINK,10
your,PRP$,BLACKPINK,14
your,PRP$,Lady Gaga & BLACKPINK,3
zoom,NN,BLACKPINK,2
‘,NN,BLACKPINK,1
‘,NNP,BLACKPINK,1
’,JJ,BLACKPINK,51
’,NN,BLACKPINK,10
’,NNP,BLACKPINK,69
’,NNS,BLACKPINK,3
’,TO,BLACKPINK,3
’,VB,BLACKPINK,11
’,VBD,BLACKPINK,4
’,VBP,BLACKPINK,60
’,VBZ,BLACKPINK,5
가기,NNP,BLACKPINK,1
가까이,NNP,BLACKPINK,2
가끔,NNP,BLACKPINK,4
가녀린,NNP,BLACKPINK,1
가는,NNP,BLACKPINK,2
가도,NNP,BLACKPINK,2
가두기,NNP,BLACKPINK,2
가둔,NNP,BLACKPINK,1
가득한,NNP,BLACKPINK,1
가라앉으면,JJ,BLACKPINK,1
가려진,NNP,BLACKPINK,1
가로채,NNP,BLACKPINK,1
가린,NNP,BLACKPINK,1
가벼운,NNP,BLACKPINK,1
가볼래,NNP,BLACKPINK,1
가슴은,NNP,BLACKPINK,1
가장,NNP,BLACKPINK,1
가질,NNP,BLACKPINK,1
간,NNP,BLACKPINK,1
갇혀,NNP,BLACKPINK,1
갈,NNP,BLACKPINK,2
갈래,NNP,BLACKPINK,1
감싸고,NNP,BLACKPINK,2
감싸지만,NNP,BLACKPINK,2
감정의,NNP,BLACKPINK,1
감춘,NNP,BLACKPINK,1
감히,NNP,BLACKPINK,1
갔다,NNP,BLACKPINK,1
같겠지만,NNP,BLACKPINK,1
같길,NNP,BLACKPINK,1
같다면,NNP,BLACKPINK,2
같아,NNP,BLACKPINK,1
같아서,NNP,BLACKPINK,1
같은,NNP,BLACKPINK,5
같이,NNP,BLACKPINK,2
같지,NNP,BLACKPINK,2
개,NNP,BLACKPINK,3
걔가,NNP,BLACKPINK,1
거니까,NNP,BLACKPINK,1
거라,NNP,BLACKPINK,1
거라고,NN,BLACKPINK,1
거라고,NNP,BLACKPINK,5
거리낌,NNP,Lady Gaga & BLACKPINK,1
거리는,NNP,BLACKPINK,1
거린,NNP,BLACKPINK,1
거릴,NNP,Lady Gaga & BLACKPINK,1
거슬려,NNP,BLACKPINK,1
거야,NNP,BLACKPINK,12
거울에,NNP,BLACKPINK,2
거지,NNP,BLACKPINK,1
거짓,NN,BLACKPINK,1
거짓말,IN,BLACKPINK,1
거짓말,NNP,BLACKPINK,1
거짓말을,NNP,BLACKPINK,1
거짓말처럼,NNP,BLACKPINK,3
거친,NNP,BLACKPINK,1
거침없이,NNP,BLACKPINK,1
건,NNP,BLACKPINK,5
건,NNP,Lady Gaga & BLACKPINK,1
건너편엔,NNP,BLACKPINK,1
건데,NNP,BLACKPINK,2
건지,NNP,BLACKPINK,1
걷잡을,NNP,BLACKPINK,1
걸,NN,BLACKPINK,1
걸,NNP,BLACKPINK,14
걸고,NNP,BLACKPINK,1
걸까,NNP,BLACKPINK,2
걸로,NNP,BLACKPINK,1
걸어가는,NNP,BLACKPINK,3
걸쳤지만,NNP,BLACKPINK,1
검은색,NNP,BLACKPINK,2
겁,NNP,BLACKPINK,2
것,NNP,BLACKPINK,1
것도,NNP,BLACKPINK,3
것처럼,FW,BLACKPINK,2
것처럼,NNP,BLACKPINK,14
게,NNP,BLACKPINK,16
게임은,NNP,BLACKPINK,1
견딜,NNP,BLACKPINK,2
결국,NNP,BLACKPINK,1
결국엔,VBP,BLACKPINK,1
결론은,NNP,BLACKPINK,1
결론이,JJ,BLACKPINK,1
결론이,NNP,BLACKPINK,1
경찰도,NNP,BLACKPINK,1
곁에,NNP,BLACKPINK,7
곁에만,NNP,BLACKPINK,1
곁을,NNP,BLACKPINK,2
계산은,NNP,BLACKPINK,1
계속,NNP,BLACKPINK,1
고요한,NNP,BLACKPINK,1
골랐어,NNP,BLACKPINK,1
곳들까지,NNP,BLACKPINK,1
관리하고,NNP,BLACKPINK,1
괜찮다고,JJ,BLACKPINK,1
괜찮다고,NNP,BLACKPINK,1
괜찮아,NNP,BLACKPINK,3
괜한,NNP,BLACKPINK,1
괴롭히지만,NNP,BLACKPINK,3
구름,NNP,BLACKPINK,1
구차해,NNP,BLACKPINK,1
굳이,NNP,BLACKPINK,7
궁금하면,NNP,BLACKPINK,1
귓가에,NNP,BLACKPINK,1
그,NNP,BLACKPINK,9
그,VBP,BLACKPINK,1
그게,NNP,BLACKPINK,2
그냥,NNP,BLACKPINK,3
그녀는,NNP,BLACKPINK,2
그대로,NNP,BLACKPINK,4
그대론,NNP,BLACKPINK,2
그때,NNP,BLACKPINK,4
그때쯤에,NNP,BLACKPINK,1
그래,NNP,BLACKPINK,3
그래,VBN,BLACKPINK,1
그래도,NNP,BLACKPINK,1
그래서,NNP,BLACKPINK,3
그런,NNP,BLACKPINK,1
그럴수록,NNP,BLACKPINK,3
그렇다고,NNP,BLACKPINK,1
그렇지,NNP,BLACKPINK,1
그려,NNP,BLACKPINK,1
그려본,NNP,BLACKPINK,3
그려왔던,NNP,BLACKPINK,1
그리,NNP,BLACKPINK,3
그림,NNP,BLACKPINK,1
그림자도,NNP,BLACKPINK,1
그만,NNP,BLACKPINK,5
그저,NNP,BLACKPINK,7
근데,NNP,BLACKPINK,1
급해지지,NNP,BLACKPINK,1
기다려도,NNP,BLACKPINK,1
기다린,NNP,BLACKPINK,1
기대하는,NNP,BLACKPINK,1
기댈,NNP,BLACKPINK,1
기름,NNP,BLACKPINK,1
기억은,NNP,BLACKPINK,2
기억해,NNP,BLACKPINK,3
길어지는데,NNP,BLACKPINK,1
길을,NNP,BLACKPINK,2
깊이,NNP,BLACKPINK,3
까먹었니,NNP,BLACKPINK,1
까보면,NNP,Lady Gaga & BLACKPINK,1
깔면,NNP,BLACKPINK,1
깔음,NNP,BLACKPINK,1
깡통,NNP,BLACKPINK,2
꺾지,NNP,BLACKPINK,1
꼭,NNP,BLACKPINK,2
꼭대기,NNP,BLACKPINK,1
꼴좋으니까,NNP,BLACKPINK,2
꽃이,NNP,BLACKPINK,1
꽤나,NNP,BLACKPINK,1
꿈꾸던,NNP,BLACKPINK,2
끈,NNP,BLACKPINK,3
끊어야겠어,NNP,BLACKPINK,2
끌,NNP,BLACKPINK,2
끌려,NNP,BLACKPINK,1
끌림이,NNP,BLACKPINK,1
끝까지,NNP,BLACKPINK,1
끝내야,NNP,BLACKPINK,1
끝낼,NNP,BLACKPINK,3
끝낼순,NNP,BLACKPINK,1
끝에,NNP,BLACKPINK,1
끝엔,NNP,BLACKPINK,1
끝을,NNP,BLACKPINK,2
끝이,JJ,BLACKPINK,1
끝이,NNP,BLACKPINK,2
끝이란,JJ,BLACKPINK,1
끝자락,NNP,BLACKPINK,1
끝장을,NNP,BLACKPINK,1
나,JJ,BLACKPINK,1
나,NNP,BLACKPINK,13
나날,NNP,BLACKPINK,1
나는,NNP,BLACKPINK,2
나니까,NNP,BLACKPINK,3
나도,NN,BLACKPINK,1
나도,NNP,BLACKPINK,1
나를,NNP,BLACKPINK,12
나만,NNP,BLACKPINK,1
나만을,NNP,BLACKPINK,1
나보다,NNP,BLACKPINK,3
나야,NNP,BLACKPINK,1
나약한,NNP,BLACKPINK,2
나와,NNP,BLACKPINK,1
나은,NNP,BLACKPINK,3
나의,NNP,BLACKPINK,1
나지막이,NNP,BLACKPINK,1
나처럼,NNP,BLACKPINK,2
나타나면,NNP,BLACKPINK,1
난,JJ,BLACKPINK,2
난,NNP,BLACKPINK,28
난,VBP,BLACKPINK,3
난리를,NNP,BLACKPINK,2
날,JJ,BLACKPINK,2
날,NNP,BLACKPINK,39
날,NNP,Lady Gaga & BLACKPINK,1
날개,VBP,BLACKPINK,1
날만,NNP,BLACKPINK,1
날아,NNP,BLACKPINK,1
날아갈,NNP,BLACKPINK,1
날에,NNP,BLACKPINK,3
낡은,NNP,BLACKPINK,3
남겨준,NNP,BLACKPINK,3
남들처럼,NNP,BLACKPINK,2
남아,NNP,BLACKPINK,4
남자,NNP,BLACKPINK,2
남자들은,NNP,BLACKPINK,1
남자들이,NNP,BLACKPINK,1
남자와는,NNP,BLACKPINK,3
낮에도,NNP,BLACKPINK,1
낯설지,NNP,BLACKPINK,1
내,JJ,BLACKPINK,2
내,NN,BLACKPINK,1
내,NNP,BLACKPINK,53
내가,NNP,BLACKPINK,15
내게,NNP,BLACKPINK,3
내놓고,NNP,BLACKPINK,1
내놔봐,NNP,BLACKPINK,1
내려놓자며,NNP,BLACKPINK,1
내뱉던,NNP,BLACKPINK,1
내빼,NNP,BLACKPINK,1
내일,NNP,BLACKPINK,3
너,JJ,BLACKPINK,1
너,NNP,BLACKPINK,7
너네,JJ,BLACKPINK,1
너는,NNP,BLACKPINK,4
너다워,NNP,BLACKPINK,1
너도,NNP,BLACKPINK,2
너라는,NNP,BLACKPINK,2
너란,NNP,BLACKPINK,6
너로,NNP,BLACKPINK,1
너를,NNP,BLACKPINK,7
너만,NNP,BLACKPINK,2
너무,JJ,BLACKPINK,1
너무,NNP,BLACKPINK,5
너무나,NNP,BLACKPINK,1
너야,NNP,Lady Gaga & BLACKPINK,2
너에게,NNP,BLACKPINK,7
너여야만,NNP,BLACKPINK,2
너와,NNP,BLACKPINK,7
너와의,NNP,BLACKPINK,1
너의,NNP,BLACKPINK,4
너지만,NNP,BLACKPINK,1
너희,NNP,BLACKPINK,2
넌,JJ,BLACKPINK,2
넌,NNP,BLACKPINK,12
넌,NNP,Lady Gaga & BLACKPINK,2
넌,VBP,BLACKPINK,2
널,FW,BLACKPINK,2
널,NNP,BLACKPINK,17
널,VB,BLACKPINK,1
널,VBP,BLACKPINK,1
넘어서,NNP,BLACKPINK,4
넘어선,NNP,BLACKPINK,1
넘어와라,NNP,BLACKPINK,1
네,NNP,BLACKPINK,18
네,VBD,BLACKPINK,1
네,VBP,BLACKPINK,3
네가,NNP,BLACKPINK,3
네가,NNS,BLACKPINK,1
네가,VBP,BLACKPINK,3
노래를,NNP,BLACKPINK,1
노력,NNP,BLACKPINK,2
노예,NNP,BLACKPINK,1
논하자면,NNP,BLACKPINK,1
높이,NNP,BLACKPINK,3
높인,NNP,BLACKPINK,1
놓을,NNP,BLACKPINK,2
누가,IN,BLACKPINK,1
누가,NN,BLACKPINK,1
누가,NNP,BLACKPINK,5
누가,VBP,BLACKPINK,1
누군지,NNP,BLACKPINK,1
눈,NNP,BLACKPINK,1
눈만,NNP,BLACKPINK,1
눈물을,NNP,BLACKPINK,1
눈물이,NNP,BLACKPINK,1
눈부셔,NNP,BLACKPINK,2
눈빛,NNP,BLACKPINK,1
눈빛에,NNP,Lady Gaga & BLACKPINK,1
눈빛은,JJ,BLACKPINK,1
눈빛이,NNP,BLACKPINK,1
눈에,NNP,BLACKPINK,2
눈엔,NNP,BLACKPINK,1
눈을,NNP,BLACKPINK,2
눈이,NNP,BLACKPINK,1
눈치,NNP,BLACKPINK,1
눈치는,NNP,BLACKPINK,1
느껴,NNP,BLACKPINK,1
느껴지니,NNP,BLACKPINK,1
느낌이,NNP,BLACKPINK,1
느려도,NNP,BLACKPINK,1
늘,NNP,BLACKPINK,2
다,NNP,BLACKPINK,8
다,VBZ,BLACKPINK,1
다르다고,NNP,BLACKPINK,3
다른,JJ,BLACKPINK,3
다른,NNP,BLACKPINK,1
다름,NNP,BLACKPINK,2
다시,NNP,BLACKPINK,2
다치고,NNP,BLACKPINK,1
다치니까,NNP,BLACKPINK,1
달려,NNP,BLACKPINK,1
달려보자,IN,BLACKPINK,2
달려봐,NNP,BLACKPINK,2
달려야지,NNP,BLACKPINK,1
달리고,NNP,BLACKPINK,2
달빛,NNP,BLACKPINK,1
달빛에,NNP,BLACKPINK,1
달아올라,NNP,BLACKPINK,1
달이,NNP,BLACKPINK,2
달콤한,NNP,BLACKPINK,2
닮은,JJ,BLACKPINK,2
담아,NNP,BLACKPINK,1
담지마,NNP,BLACKPINK,1
답답한,NNP,BLACKPINK,1
답이,NNP,BLACKPINK,1
당기는,NNP,BLACKPINK,1
당연하게,NNP,BLACKPINK,1
당장,NNP,BLACKPINK,3
당황하겠지,NNP,Lady Gaga & BLACKPINK,1
대놓고,NNP,BLACKPINK,1
대부분이,NNP,BLACKPINK,1
더,JJ,BLACKPINK,1
더,NNP,BLACKPINK,13
더,VBP,BLACKPINK,1
던지고,NNP,BLACKPINK,2
던지면,NNP,BLACKPINK,1
데려가,NNP,BLACKPINK,1
도네,NNP,BLACKPINK,2
도는,NNP,BLACKPINK,1
도도하지만,NNP,BLACKPINK,1
도둑인데,NNP,BLACKPINK,1
도려내,NNP,BLACKPINK,1
독인지,NNP,BLACKPINK,1
독한,NNP,BLACKPINK,1
독해,NNP,BLACKPINK,1
돌,NNP,BLACKPINK,1
동서남북,NNP,BLACKPINK,1
동안,NNP,BLACKPINK,3
돼,IN,BLACKPINK,2
돼,NNP,BLACKPINK,4
됐건,NNP,BLACKPINK,1
되는,NNP,BLACKPINK,1
된다면,NNP,BLACKPINK,2
될걸,NNP,BLACKPINK,1
두,JJ,BLACKPINK,1
두,NNP,BLACKPINK,8
두니까,NNP,Lady Gaga & BLACKPINK,1
두려움보단,NNP,BLACKPINK,1
두려워,NNP,BLACKPINK,1
두렵지,NNP,BLACKPINK,1
둘,NNP,BLACKPINK,2
둘을,NNP,BLACKPINK,2
둘이,NNP,BLACKPINK,1
뒤돌아보진,NNP,BLACKPINK,1
뒤를,NNP,BLACKPINK,1
뒤엔,NNP,BLACKPINK,1
뒷모습을,NNP,BLACKPINK,1
드는,NNP,BLACKPINK,1
듣던,JJ,BLACKPINK,1
들,NNP,BLACKPINK,2
들리겠지,NNP,BLACKPINK,1
들리잖아,NNP,BLACKPINK,2
들리지,NNP,BLACKPINK,1
들이대면,NNP,BLACKPINK,1
들킬까,NNP,BLACKPINK,1
듯,NNP,BLACKPINK,1
듯이,NNP,BLACKPINK,1
듯한,NNP,BLACKPINK,2
따뜻한,NNP,BLACKPINK,1
따라다라단딴,NNP,BLACKPINK,2
따위,NNP,BLACKPINK,1
따윈,NNP,BLACKPINK,6
따주겠다,NNP,BLACKPINK,1
딱,NNP,BLACKPINK,1
딱하지만,NNP,BLACKPINK,1
딱한,NNP,BLACKPINK,1
땅만,NNP,BLACKPINK,1
때,NNP,BLACKPINK,3
때론,NNP,BLACKPINK,2
때면,NNP,BLACKPINK,1
땐,NNP,BLACKPINK,1
떠나가고,NNP,BLACKPINK,1
떠나면,NNP,BLACKPINK,1
떠나지,JJ,BLACKPINK,1
떠나지마,NNP,BLACKPINK,4
떠난,NNP,BLACKPINK,1
떠날까,NNP,BLACKPINK,1
떨림,NNP,BLACKPINK,1
떨림은,NNP,BLACKPINK,2
떨림이,NNP,BLACKPINK,1
떼어,NNP,BLACKPINK,2
또,NNP,BLACKPINK,11
똑같아,NNP,BLACKPINK,1
똑딱,NNP,BLACKPINK,1
똑바로,NNP,BLACKPINK,1
뚜두뚜두,NNP,BLACKPINK,1
뚜두룹바우,NNP,BLACKPINK,2
뚫고,NNP,BLACKPINK,1
뛰긴,NNP,BLACKPINK,1
뛰어,NNP,BLACKPINK,1
뛰잖아,NNP,BLACKPINK,2
뜨거워,NNP,BLACKPINK,12
뜨거워지잖아,NNP,BLACKPINK,1
뜨겁게,NNP,BLACKPINK,1
뜨겁고,NNP,BLACKPINK,1
뜨고,NNP,BLACKPINK,2
뜨면,NNP,BLACKPINK,2
뜻밖의,NNP,Lady Gaga & BLACKPINK,1
띠며,NN,BLACKPINK,1
마,NN,BLACKPINK,1
마,NNP,BLACKPINK,8
마-마-마지막처럼,JJ,BLACKPINK,6
마냥,NNP,BLACKPINK,1
마름,NNP,BLACKPINK,1
마셔도,NNP,BLACKPINK,1
마요,NNP,BLACKPINK,2
마음,NNP,BLACKPINK,1
마음만,NNP,BLACKPINK,1
마음속,NNP,BLACKPINK,1
마음에,NNP,BLACKPINK,2
마음은,NNP,BLACKPINK,3
마주할래,NNP,BLACKPINK,1
마지막,NNP,BLACKPINK,6
마지막처럼,NNP,BLACKPINK,7
마치,NNP,BLACKPINK,2
막아도,NNP,BLACKPINK,1
막지마,NNP,BLACKPINK,1
만나,NNP,BLACKPINK,3
만나면,NN,BLACKPINK,2
만난,NNP,BLACKPINK,2
만만한,NNP,BLACKPINK,2
만약에,NNP,BLACKPINK,1
만은,NNP,BLACKPINK,3
만큼,NNP,BLACKPINK,7
많은,NNP,BLACKPINK,3
많은걸,NNP,BLACKPINK,2
많지,NNP,BLACKPINK,1
말,NNP,BLACKPINK,5
말든,NN,BLACKPINK,1
말들로,NNP,BLACKPINK,1
말들로,NNP,Lady Gaga & BLACKPINK,1
말로만,VBP,BLACKPINK,1
말은,NNP,BLACKPINK,2
말이,NNP,BLACKPINK,1
말이야,NNP,BLACKPINK,1
말하지만,NNP,BLACKPINK,2
말할,NNP,BLACKPINK,2
말해,NNP,BLACKPINK,1
말해줘,JJ,BLACKPINK,3
말해줘,VB,BLACKPINK,3
말했어,NNP,BLACKPINK,1
맘,NNP,BLACKPINK,2
맘과,NNP,BLACKPINK,2
맘대로,NNP,BLACKPINK,3
맘에,NNP,BLACKPINK,1
맘을,NNP,BLACKPINK,1
맘이,NNP,BLACKPINK,2
망가져도,NNP,BLACKPINK,1
맞으면,NNP,BLACKPINK,1
맞을지도,NNP,BLACKPINK,1
맞음,NNP,BLACKPINK,1
맞추길,NNP,BLACKPINK,1
매달려,NNP,BLACKPINK,1
매번,JJ,BLACKPINK,1
매번,NNP,BLACKPINK,3
