형태소,품사,분류,카운트
Make,NNP,Lady Gaga & BLACKPINK,2
Make,VB,BLACKPINK,1
Make,VBP,BLACKPINK,1
Makeup,NNP,BLACKPINK,2
Maxed,NNP,BLACKPINK,1
Met,VBD,BLACKPINK,1
Middle,NNP,BLACKPINK,1
Might,NNP,BLACKPINK,1
Millis,NNP,BLACKPINK,1
Mona,NNP,BLACKPINK,2
Moses,NNP,BLACKPINK,1
My,NNP,BLACKPINK,4
Na,NNP,BLACKPINK,2
Need,NNP,BLACKPINK,1
Needs,NNP,BLACKPINK,2
Negative,NNP,BLACKPINK,1
Negative,VBP,BLACKPINK,1
Never,NNP,BLACKPINK,4
No,DT,BLACKPINK,3
No,NNP,BLACKPINK,5
Now,RB,BLACKPINK,6
Now,RB,Lady Gaga & BLACKPINK,1
Of,IN,BLACKPINK,3
Oh,NNP,BLACKPINK,5
Oh,NNP,Lady Gaga & BLACKPINK,2
Oh,UH,BLACKPINK,1
On,IN,BLACKPINK,3
One,CD,BLACKPINK,3
Only,RB,BLACKPINK,1
Os,NNP,BLACKPINK,1
Over,IN,BLACKPINK,2
Pedal,NNP,BLACKPINK,1
Pink,NNP,BLACKPINK,2
Pinked,VBD,BLACKPINK,2
Plain,NNP,BLACKPINK,1
Play,NNP,BLACKPINK,1
Playa,NNP,BLACKPINK,1
Pretty,NNP,BLACKPINK,1
Price,NNP,BLACKPINK,1
RAMBO,NNP,BLACKPINK,1
ROSE,NNP,BLACKPINK,10
Really,NNP,BLACKPINK,4
Remind,NNP,BLACKPINK,1
S,NNP,BLACKPINK,4
S,VBP,BLACKPINK,2
S-sour,JJ,Lady Gaga & BLACKPINK,2
S-sour,NNP,Lady Gaga & BLACKPINK,1
Savage,NNP,BLACKPINK,5
Say,NNP,BLACKPINK,1
See,NNP,BLACKPINK,16
See,VB,BLACKPINK,6
Send,NNP,BLACKPINK,1
Simple,NNP,BLACKPINK,1
Slurpee,NNP,BLACKPINK,1
Snow,NNP,BLACKPINK,1
So,NNP,BLACKPINK,7
So,NNP,Lady Gaga & BLACKPINK,2
So,RB,BLACKPINK,1
Something,VBG,BLACKPINK,4
Sou-sour,JJ,Lady Gaga & BLACKPINK,1
