형태소,품사,그룹명,카운트
1초,Number,EXO,2
1초,Number,Red Velvet(레드벨벳),1
1초,Number,SEVENTEEN(세븐틴),3
2,Number,BLACKPINK,1
2,Number,BTS(방탄소년단),22
2,Number,EXO,4
2,Number,NCT U,1
2,Number,Red Velvet(레드벨벳),39
2,Number,SEVENTEEN(세븐틴),7
2,Number,TWICE,11
2%,Number,TWICE,1
20,Number,BTS(방탄소년단),5
2001,Number,BTS(방탄소년단),1
2006년,Number,BTS(방탄소년단),2
2007년,Number,BTS(방탄소년단),1
2010년,Number,BTS(방탄소년단),1
21,Number,BTS(방탄소년단),9
22,Number,SEVENTEEN(세븐틴),1
24,Number,BLACKPINK,1
24,Number,BTS(방탄소년단),3
24/7,Number,BTS(방탄소년단),3
24/7,Number,EXO,10
24/7,Number,SEVENTEEN(세븐틴),3
24/7,Number,TWICE,11
247,Number,SEVENTEEN(세븐틴),10
248,Number,BTS(방탄소년단),2
24시,Number,SEVENTEEN(세븐틴),1
24시간,Number,BTS(방탄소년단),3
24시간,Number,Red Velvet(레드벨벳),1
24시간,Number,TWICE,1
2년,Number,BTS(방탄소년단),1
2분,Number,Red Velvet(레드벨벳),1
3,Number,BLACKPINK,1
3,Number,BTS(방탄소년단),5
3,Number,EXO,8
3,Number,NCT 127,3
3,Number,Red Velvet(레드벨벳),35
3,Number,SEVENTEEN(세븐틴),5
3,Number,TWICE,19
3-6,Number,EXO,13
300,Number,BTS(방탄소년단),1
30분,Number,BTS(방탄소년단),2
34분,Number,Red Velvet(레드벨벳),1
365,Number,BLACKPINK,1
3년,Number,BTS(방탄소년단),2
3분,Number,Red Velvet(레드벨벳),1
3시,Number,Red Velvet(레드벨벳),1
4,Number,BLACKPINK,1
4,Number,BTS(방탄소년단),5
4,Number,EXO,1
4,Number,NCT U,1
4,Number,Red Velvet(레드벨벳),4
4,Number,SEVENTEEN(세븐틴),1
4,Number,TWICE,16
42.195,Number,BTS(방탄소년단),1
4분,Number,BTS(방탄소년단),1
4분,Number,Red Velvet(레드벨벳),1
4분,Number,TWICE,1
5,Number,BTS(방탄소년단),5
5,Number,EXO,13
5,Number,NCT U,1
5,Number,Red Velvet(레드벨벳),1
5,Number,SEVENTEEN(세븐틴),1
5,Number,TWICE,16
50,Number,Red Velvet(레드벨벳),1
5천,Number,BTS(방탄소년단),1
5천만,Number,BTS(방탄소년단),1
6,Number,BTS(방탄소년단),3
6,Number,NCT U,1
6,Number,Red Velvet(레드벨벳),9
6,Number,SEVENTEEN(세븐틴),1
6,Number,TWICE,7
6789,Number,TWICE,4
6년,Number,BTS(방탄소년단),1
6시,Number,BTS(방탄소년단),2
7,Number,BTS(방탄소년단),2
7,Number,SEVENTEEN(세븐틴),1
7,Number,TWICE,7
70억,Number,BTS(방탄소년단),3
77억,Number,SEVENTEEN(세븐틴),1
7년,Number,BTS(방탄소년단),4
7시,Number,BTS(방탄소년단),1
7천,Number,BTS(방탄소년단),3
8,Number,BTS(방탄소년단),1
8,Number,SEVENTEEN(세븐틴),1
8,Number,TWICE,14
8분,Number,TWICE,1
8월,Number,BTS(방탄소년단),1
9,Number,BTS(방탄소년단),2
9,Number,EXO,1
9,Number,SEVENTEEN(세븐틴),25
9,Number,TWICE,14
90,Number,BLACKPINK,1
99,Number,BTS(방탄소년단),1
9회,Number,BTS(방탄소년단),1
9회,Number,SEVENTEEN(세븐틴),1
:,Punctuation,BTS(방탄소년단),131
:,Punctuation,Red Velvet(레드벨벳),3
<,Punctuation,Red Velvet(레드벨벳),1
=,Punctuation,BTS(방탄소년단),3
=,Punctuation,SEVENTEEN(세븐틴),1
>,Punctuation,Red Velvet(레드벨벳),1
?,Punctuation,BLACKPINK,7
?,Punctuation,BTS(방탄소년단),264
?,Punctuation,BTS(방탄소년단) & Juice WRLD,1
?,Punctuation,BTS(방탄소년단) & Zara Larsson,3
?,Punctuation,EXO,59
?,Punctuation,EXO-K,6
?,Punctuation,Halsey & SUGA & BTS,2
?,Punctuation,NCT 127,7
?,Punctuation,NCT 2018,4
?,Punctuation,NCT U,11
?,Punctuation,Red Velvet(레드벨벳),142
?,Punctuation,SEVENTEEN(세븐틴),20
?,Punctuation,TWICE,48
"?""",Punctuation,BTS(방탄소년단),1
?),Punctuation,BTS(방탄소년단),11
?),Punctuation,EXO,14
?),Punctuation,Red Velvet(레드벨벳),10
?),Punctuation,SEVENTEEN(세븐틴),1
?’,Punctuation,BTS(방탄소년단),1
A,Alpha,BLACKPINK,5
A,Alpha,BTS(방탄소년단),5
A,Alpha,BTS(방탄소년단) & Zara Larsson,3
A,Alpha,EXO,10
A,Alpha,EXO-K,8
A,Alpha,Red Velvet(레드벨벳),42
A,Alpha,SEVENTEEN(세븐틴),9
A,Alpha,TWICE,26
ABC,Alpha,Red Velvet(레드벨벳),4
AHH,Alpha,TWICE,8
AIRBAG,Alpha,SEVENTEEN(세븐틴),1
AND,Alpha,BTS(방탄소년단),1
AP,Alpha,BLACKPINK,1
AP,Alpha,BTS(방탄소년단),2
ARMY,Alpha,BTS(방탄소년단),2
Aah,Alpha,BTS(방탄소년단),2
About,Alpha,SEVENTEEN(세븐틴),3
Acting,Alpha,BLACKPINK,1
Action,Alpha,Red Velvet(레드벨벳),1
Action,Alpha,SEVENTEEN(세븐틴),1
Action,Alpha,TWICE,1
Addicted,Alpha,TWICE,1
Adrenaline,Alpha,EXO,1
Afternoon,Alpha,Red Velvet(레드벨벳),14
Again,Alpha,TWICE,3
Agust,Alpha,BTS(방탄소년단),1
Ah,Alpha,BLACKPINK,2
Ah,Alpha,BTS(방탄소년단),4
Ah,Alpha,EXO,13
Ah,Alpha,Red Velvet(레드벨벳),62
Ah,Alpha,SEVENTEEN(세븐틴),61
Ah,Alpha,TWICE,25
Ah,Alpha,예리 (YERI) & NCT,3
Ahh,Alpha,BTS(방탄소년단),1
Ahh,Alpha,TWICE,12
Ahhh,Alpha,BTS(방탄소년단),1
Ahnana,Alpha,Red Velvet(레드벨벳),2
Ain,Alpha,BTS(방탄소년단) & Juice WRLD,1
Ain,Alpha,EXO,1
Ain,Alpha,TWICE,10
Aladdin,Alpha,BTS(방탄소년단),1
Alexander,Alpha,BTS(방탄소년단),2
All,Alpha,BLACKPINK,4
All,Alpha,BTS(방탄소년단),56
All,Alpha,BTS(방탄소년단) & Juice WRLD,66
All,Alpha,EXO,20
All,Alpha,NCT DREAM,1
All,Alpha,NCT U,3
All,Alpha,Red Velvet(레드벨벳),32
All,Alpha,SEVENTEEN(세븐틴),11
All,Alpha,TWICE,32
Alone,Alpha,Red Velvet(레드벨벳),1
Alright,Alpha,BTS(방탄소년단),2
Alright,Alpha,Red Velvet(레드벨벳),4
Alright,Alpha,SEVENTEEN(세븐틴),1
Alright,Alpha,TWICE,6
Always,Alpha,BTS(방탄소년단),2
Always,Alpha,BTS(방탄소년단) & Charli XCX,1
Always,Alpha,SEVENTEEN(세븐틴),4
Am,Alpha,BTS(방탄소년단),11
Amor,Alpha,SEVENTEEN(세븐틴),3
And,Alpha,BLACKPINK,18
And,Alpha,BTS(방탄소년단),46
And,Alpha,EXO,1
And,Alpha,NCT U,2
And,Alpha,SEVENTEEN(세븐틴),12
And,Alpha,TWICE,9
Angel,Alpha,EXO,7
Angel,Alpha,SEVENTEEN(세븐틴),1
Angry,Alpha,BTS(방탄소년단),1
Anpan,Alpha,BTS(방탄소년단),5
Anpanman,Alpha,BTS(방탄소년단),18
Anybody,Alpha,SEVENTEEN(세븐틴),1
Anything,Alpha,TWICE,1
Anytime,Alpha,TWICE,1
Aow,Alpha,SEVENTEEN(세븐틴),1
Are,Alpha,BTS(방탄소년단),8
Are,Alpha,EXO,2
Are,Alpha,Red Velvet(레드벨벳),5
Are,Alpha,SEVENTEEN(세븐틴),1
Are,Alpha,TWICE,1
Arm,Alpha,SEVENTEEN(세븐틴),1
Around,Alpha,TWICE,1
Arrive,Alpha,SEVENTEEN(세븐틴),2
Artificial,Alpha,EXO,20
Artist,Alpha,BTS(방탄소년단),1
As,Alpha,TWICE,1
Ashton,Alpha,BTS(방탄소년단) & Juice WRLD,1
Asian,Alpha,BTS(방탄소년단),1
Ask,Alpha,Lady Gaga & BLACKPINK,1
At,Alpha,Lady Gaga & BLACKPINK,1
At,Alpha,SEVENTEEN(세븐틴),2
Atta,Alpha,Red Velvet(레드벨벳),3
Attaboy,Alpha,Red Velvet(레드벨벳),3
Attack,Alpha,EXO,9
Attention,Alpha,TWICE,1
Auto,Alpha,SEVENTEEN(세븐틴),1
Automatic,Alpha,Red Velvet(레드벨벳),11
Automatic,Alpha,SEVENTEEN(세븐틴),2
Awoooo,Alpha,EXO,1
Awouuuu,Alpha,EXO,6
Ay,Alpha,BTS(방탄소년단),11
Ay,Alpha,EXO,6
Ay,Alpha,SEVENTEEN(세븐틴),21
Aye,Alpha,BLACKPINK,1
Aye,Alpha,BTS(방탄소년단) & Juice WRLD,1
Aye,Alpha,EXO,1
Ayo,Alpha,BTS(방탄소년단),5
Ayy,Alpha,BTS(방탄소년단),5
B,Alpha,BTS(방탄소년단),1
B,Alpha,Red Velvet(레드벨벳),31
B,Alpha,SEVENTEEN(세븐틴),5
BA,Alpha,BLACKPINK,6
BAA,Alpha,SEVENTEEN(세븐틴),2
BABY,Alpha,TWICE,6
BACK,Alpha,BTS(방탄소년단),37
BAND,Alpha,BTS(방탄소년단),3
BANG,Alpha,BTS(방탄소년단),4
BANGTAN,Alpha,BTS(방탄소년단),1
BB,Alpha,TWICE,2
BING,Alpha,BTS(방탄소년단),2
BLACKPINK,Alpha,BLACKPINK,7
BOOM,Alpha,BLACKPINK,12
BOOM,Alpha,EXO,5
BOOMBAYAH,Alpha,BLACKPINK,8
BOTTOM,Alpha,BTS(방탄소년단),1
BPM,Alpha,SEVENTEEN(세븐틴),1
BREATH,Alpha,BTS(방탄소년단),1
BRRR,Alpha,SEVENTEEN(세븐틴),2
BRRRR,Alpha,SEVENTEEN(세븐틴),3
BRRRRRR,Alpha,SEVENTEEN(세븐틴),1
BTS,Alpha,BTS(방탄소년단),7
BUT,Alpha,BTS(방탄소년단),2
Ba,Alpha,Red Velvet(레드벨벳),13
Babe,Alpha,EXO,12
Babe,Alpha,SEVENTEEN(세븐틴),8
Babe,Alpha,TWICE,3
Baby,Alpha,BLACKPINK,8
Baby,Alpha,BTS(방탄소년단),30
Baby,Alpha,EXO,62
Baby,Alpha,NCT 127,2
Baby,Alpha,NCT U,7
Baby,Alpha,Red Velvet(레드벨벳),55
Baby,Alpha,SEVENTEEN(세븐틴),61
Baby,Alpha,TWICE,109
Back,Alpha,BTS(방탄소년단),1
Back,Alpha,EXO,3
Back,Alpha,NCT 2018,2
Back,Alpha,SEVENTEEN(세븐틴),15
Bad,Alpha,NCT 2018,1
Bad,Alpha,Red Velvet(레드벨벳),15
Bad,Alpha,SEVENTEEN(세븐틴),4
Badda,Alpha,BLACKPINK,1
Bae,Alpha,TWICE,4
Bake,Alpha,Red Velvet(레드벨벳),1
Ball,Alpha,BTS(방탄소년단),1
Bang,Alpha,BTS(방탄소년단),16
Bang,Alpha,Red Velvet(레드벨벳),1
Bang,Alpha,TWICE,1
Base,Alpha,SEVENTEEN(세븐틴),1
Basically,Alpha,SEVENTEEN(세븐틴),1
Bass,Alpha,BTS(방탄소년단),1
Batman,Alpha,BTS(방탄소년단),1
Be,Alpha,BTS(방탄소년단),1
Be,Alpha,EXO,1
Be,Alpha,Red Velvet(레드벨벳),5
Be,Alpha,TWICE,9
Beat,Alpha,BTS(방탄소년단),2
Beat,Alpha,EXO,1
Beat,Alpha,Red Velvet(레드벨벳),13
Beat,Alpha,TWICE,12
Beat,Alpha,예리 (YERI) & NCT,1
Beautiful,Alpha,EXO,52
Beautiful,Alpha,Red Velvet(레드벨벳),2
Beautiful,Alpha,SEVENTEEN(세븐틴),9
Because,Alpha,BTS(방탄소년단),2
Because,Alpha,SEVENTEEN(세븐틴),19
Because,Alpha,TWICE,3
Been,Alpha,BLACKPINK,1
Been,Alpha,BTS(방탄소년단),1
Beep,Alpha,TWICE,1
Before,Alpha,BLACKPINK,1
Before,Alpha,EXO,1
Before,Alpha,NCT U,3
Behind,Alpha,TWICE,5
Believe,Alpha,EXO,1
Believe,Alpha,TWICE,2
Believer,Alpha,TWICE,7
Berry,Alpha,TWICE,3
Best,Alpha,Red Velvet(레드벨벳),12
Best,Alpha,SEVENTEEN(세븐틴),1
Bet,Alpha,BLACKPINK,1
Bet,Alpha,Red Velvet(레드벨벳),2
Better,Alpha,BLACKPINK,3
Better,Alpha,SEVENTEEN(세븐틴),6
Better,Alpha,TWICE,2
Big,Alpha,BTS(방탄소년단),1
Bighit,Alpha,BTS(방탄소년단),2
Billboard,Alpha,BTS(방탄소년단),1
Billie,Alpha,BLACKPINK,1
Billie,Alpha,Red Velvet(레드벨벳),1
Billis,Alpha,BLACKPINK,1
Birthday,Alpha,TWICE,1
Bla,Alpha,TWICE,3
Black,Alpha,BLACKPINK,3
Black,Alpha,BTS(방탄소년단),1
Black,Alpha,NCT 2018,13
Black,Alpha,Red Velvet(레드벨벳),1
Blacked,Alpha,BLACKPINK,1
Blacken,Alpha,EXO,1
Blah,Alpha,SEVENTEEN(세븐틴),5
Blala,Alpha,SEVENTEEN(세븐틴),1
Blast,Alpha,SEVENTEEN(세븐틴),3
Bless,Alpha,BTS(방탄소년단),1
Blindin,Alpha,EXO,7
Blow,Alpha,EXO,3
Blow,Alpha,Red Velvet(레드벨벳),1
Blowin,Alpha,BLACKPINK,2
Blue,Alpha,BLACKPINK,3
Blue,Alpha,Red Velvet(레드벨벳),1
Bob,Alpha,Red Velvet(레드벨벳),9
Body,Alpha,BLACKPINK,1
Body,Alpha,EXO,6
Body,Alpha,SEVENTEEN(세븐틴),2
Bold,Alpha,Red Velvet(레드벨벳),1
Bonnie,Alpha,BLACKPINK,1
Boo,Alpha,Red Velvet(레드벨벳),29
Booh,Alpha,Red Velvet(레드벨벳),1
Boom,Alpha,EXO,1
Boom,Alpha,EXO-K,8
Boom,Alpha,Red Velvet(레드벨벳),7
Boom,Alpha,TWICE,5
Boomerang,Alpha,EXO,8
Booming,Alpha,Red Velvet(레드벨벳),1
Boon,Alpha,SEVENTEEN(세븐틴),2
Bop,Alpha,EXO,5
Born,Alpha,BLACKPINK,1
Boss,Alpha,NCT U,5
Bounce,Alpha,SEVENTEEN(세븐틴),1
Bow,Alpha,BTS(방탄소년단),8
Bow,Alpha,SEVENTEEN(세븐틴),1
Boxed,Alpha,SEVENTEEN(세븐틴),1
Boxing,Alpha,SEVENTEEN(세븐틴),1
Boy,Alpha,BLACKPINK,3
Boy,Alpha,BTS(방탄소년단),1
Boy,Alpha,NCT U,2
Boy,Alpha,Red Velvet(레드벨벳),48
Boy,Alpha,TWICE,20
Boys,Alpha,BLACKPINK,1
Boys,Alpha,Red Velvet(레드벨벳),1
Brake,Alpha,BTS(방탄소년단),1
Brazil,Alpha,BTS(방탄소년단),2
Break,Alpha,BTS(방탄소년단),3
Break,Alpha,EXO,7
Break,Alpha,TWICE,5
Breakthrough,Alpha,TWICE,6
Breathe,Alpha,SEVENTEEN(세븐틴),11
Brew,Alpha,Red Velvet(레드벨벳),1
Bright,Alpha,BTS(방탄소년단),1
Bring,Alpha,BLACKPINK,1
Bring,Alpha,BTS(방탄소년단),3
Bring,Alpha,TWICE,43
Broken,Alpha,NCT U,4
Broong,Alpha,SEVENTEEN(세븐틴),2
Brother,Alpha,BTS(방탄소년단),1
Brr,Alpha,SEVENTEEN(세븐틴),23
Brrr,Alpha,BLACKPINK,1
Brrr,Alpha,SEVENTEEN(세븐틴),1
Brrrr,Alpha,BLACKPINK,1
Brrrrr,Alpha,SEVENTEEN(세븐틴),3
Bu,Alpha,SEVENTEEN(세븐틴),3
Buddy,Alpha,SEVENTEEN(세븐틴),4
Build,Alpha,SEVENTEEN(세븐틴),3
Bullet,Alpha,BTS(방탄소년단),1
Bullet,Alpha,SEVENTEEN(세븐틴),1
Bulletproof,Alpha,BTS(방탄소년단),4
Bum,Alpha,Red Velvet(레드벨벳),5
Buona,Alpha,EXO,1
Burn,Alpha,BTS(방탄소년단),6
Burn,Alpha,NCT U,2
Burn,Alpha,SEVENTEEN(세븐틴),5
Burn,Alpha,TWICE,7
Burning,Alpha,NCT U,2
Business,Alpha,BTS(방탄소년단),1
Busy,Alpha,BTS(방탄소년단),1
But,Alpha,BLACKPINK,18
But,Alpha,BTS(방탄소년단),74
But,Alpha,EXO,3
But,Alpha,Lady Gaga & BLACKPINK,5
But,Alpha,Lauv,1
But,Alpha,NCT U,5
But,Alpha,Red Velvet(레드벨벳),5
But,Alpha,SEVENTEEN(세븐틴),11
But,Alpha,TWICE,9
Butterflies,Alpha,Red Velvet(레드벨벳),7
Butterfly,Alpha,BTS(방탄소년단),10
By,Alpha,Red Velvet(레드벨벳),1
By,Alpha,SEVENTEEN(세븐틴),3
By,Alpha,TWICE,1
Bye,Alpha,BLACKPINK,2
Bye,Alpha,BTS(방탄소년단),1
Bye,Alpha,EXO,1
C,Alpha,BTS(방탄소년단),2
C,Alpha,EXO,1
C,Alpha,Red Velvet(레드벨벳),3
CD,Alpha,BTS(방탄소년단),2
CHEER,Alpha,TWICE,10
CL,Alpha,BTS(방탄소년단),1
COME,Alpha,BTS(방탄소년단),35
COMIN,Alpha,BTS(방탄소년단),2
COOL,Alpha,BTS(방탄소년단),1
COUPS,Alpha,SEVENTEEN(세븐틴),1
CRAZY,Alpha,BTS(방탄소년단),1
CT,Alpha,NCT U,3
CUZ,Alpha,BTS(방탄소년단),2
Cake,Alpha,Red Velvet(레드벨벳),5
Cali,Alpha,BTS(방탄소년단),1
Call,Alpha,BLACKPINK,1
Call,Alpha,BTS(방탄소년단),1
Call,Alpha,EXO,34
Call,Alpha,EXO-K,4
Call,Alpha,Red Velvet(레드벨벳),3
Call,Alpha,TWICE,1
Calm,Alpha,SEVENTEEN(세븐틴),1
Camera,Alpha,Red Velvet(레드벨벳),1
Camera,Alpha,SEVENTEEN(세븐틴),1
Campfire,Alpha,Red Velvet(레드벨벳),13
Can,Alpha,BLACKPINK,4
Can,Alpha,BTS(방탄소년단),21
Can,Alpha,BTS(방탄소년단) & Charli XCX,1
Can,Alpha,BTS(방탄소년단) & Juice WRLD,1
Can,Alpha,EXO,9
Can,Alpha,NCT 2018,1
Can,Alpha,NCT U,2
Can,Alpha,Red Velvet(레드벨벳),1
Can,Alpha,SEVENTEEN(세븐틴),14
Can,Alpha,TWICE,5
Candy,Alpha,TWICE,13
Caramel,Alpha,BTS(방탄소년단),4
Carat,Alpha,SEVENTEEN(세븐틴),3
Cardi,Alpha,BLACKPINK,2
Careless,Alpha,EXO-K,3
Casa,Alpha,BTS(방탄소년단),6
Cassius,Alpha,BTS(방탄소년단),1
Catch,Alpha,BLACKPINK,2
Catch,Alpha,TWICE,4
Caucasian,Alpha,BTS(방탄소년단),1
Caught,Alpha,BTS(방탄소년단),6
Cause,Alpha,BLACKPINK,8
Cause,Alpha,BTS(방탄소년단),11
Cause,Alpha,EXO,11
Cause,Alpha,EXO-K,1
Cause,Alpha,Lauv,5
Cause,Alpha,NCT U,2
Cause,Alpha,Red Velvet(레드벨벳),1
Cause,Alpha,SEVENTEEN(세븐틴),8
Cause,Alpha,TWICE,19
Chaeyoung,Alpha,TWICE,6
Chal,Alpha,SEVENTEEN(세븐틴),6
Champagne,Alpha,EXO,4
Chance,Alpha,EXO,2
Chances,Alpha,EXO,1
Chanel,Alpha,BTS(방탄소년단),1
Change,Alpha,Red Velvet(레드벨벳),1
Change,Alpha,SEVENTEEN(세븐틴),80
Charge,Alpha,BLACKPINK,1
Chaser,Alpha,NCT 2018,2
Chasing,Alpha,EXO,5
Chateau,Alpha,EXO,5
Check,Alpha,EXO,1
Check,Alpha,Red Velvet(레드벨벳),1
Check,Alpha,TWICE,1
Checkin,Alpha,Red Velvet(레드벨벳),2
Chemistry,Alpha,TWICE,1
Chill,Alpha,TWICE,6
Chilli,Alpha,SEVENTEEN(세븐틴),2
Chillin,Alpha,BLACKPINK,1
Chocolate,Alpha,BTS(방탄소년단),1
