형태소,품사,분류,카운트
Looking,Alpha,BLACKPINK,2
Love,Alpha,BLACKPINK,12
Lovesick,Alpha,BLACKPINK,4
Lucky,Alpha,BLACKPINK,2
Make,Alpha,BLACKPINK,6
Make,Alpha,Lady Gaga & BLACKPINK,2
Makeup,Alpha,BLACKPINK,2
Maxed,Alpha,BLACKPINK,1
Met,Alpha,BLACKPINK,1
Middle,Alpha,BLACKPINK,1
Might,Alpha,BLACKPINK,1
Millis,Alpha,BLACKPINK,1
Mona,Alpha,BLACKPINK,2
Moses,Alpha,BLACKPINK,1
My,Alpha,BLACKPINK,4
Na,Alpha,BLACKPINK,2
Need,Alpha,BLACKPINK,1
Needs,Alpha,BLACKPINK,2
Negative,Alpha,BLACKPINK,2
Never,Alpha,BLACKPINK,4
No,Alpha,BLACKPINK,8
Now,Alpha,BLACKPINK,6
Now,Alpha,Lady Gaga & BLACKPINK,1
Of,Alpha,BLACKPINK,3
Oh,Alpha,BLACKPINK,6
Oh,Alpha,Lady Gaga & BLACKPINK,2
On,Alpha,BLACKPINK,3
One,Alpha,BLACKPINK,3
Only,Alpha,BLACKPINK,1
Os,Alpha,BLACKPINK,1
Over,Alpha,BLACKPINK,2
Pedal,Alpha,BLACKPINK,1
Pink,Alpha,BLACKPINK,2
Pinked,Alpha,BLACKPINK,2
Plain,Alpha,BLACKPINK,1
Play,Alpha,BLACKPINK,1
Playa,Alpha,BLACKPINK,1
Pretty,Alpha,BLACKPINK,1
Price,Alpha,BLACKPINK,1
RAMBO,Alpha,BLACKPINK,1
ROSE,Alpha,BLACKPINK,10
Really,Alpha,BLACKPINK,4
Remind,Alpha,BLACKPINK,1
S,Alpha,BLACKPINK,6
S,Alpha,Lady Gaga & BLACKPINK,3
Savage,Alpha,BLACKPINK,5
Say,Alpha,BLACKPINK,1
See,Alpha,BLACKPINK,22
Send,Alpha,BLACKPINK,1
Simple,Alpha,BLACKPINK,1
Slurpee,Alpha,BLACKPINK,1
Snow,Alpha,BLACKPINK,1
So,Alpha,BLACKPINK,8
So,Alpha,Lady Gaga & BLACKPINK,2
Something,Alpha,BLACKPINK,4
Sou,Alpha,Lady Gaga & BLACKPINK,2
Sound,Alpha,BLACKPINK,1
Sour,Alpha,Lady Gaga & BLACKPINK,7
Stressing,Alpha,BLACKPINK,1
Sunday,Alpha,BLACKPINK,1
Swear,Alpha,BLACKPINK,1
THIS,Alpha,BLACKPINK,4
Take,Alpha,BLACKPINK,2
Take,Alpha,Lady Gaga & BLACKPINK,4
Tell,Alpha,BLACKPINK,1
Test,Alpha,BLACKPINK,1
Thank,Alpha,BLACKPINK,1
That,Alpha,BLACKPINK,3
The,Alpha,BLACKPINK,2
Then,Alpha,BLACKPINK,2
Then,Alpha,Lady Gaga & BLACKPINK,2
Think,Alpha,BLACKPINK,2
This,Alpha,BLACKPINK,2
Time,Alpha,BLACKPINK,1
To,Alpha,BLACKPINK,2
Touch,Alpha,BLACKPINK,1
Toxic,Alpha,BLACKPINK,1
Turn,Alpha,BLACKPINK,1
U,Alpha,BLACKPINK,1
UH,Alpha,BLACKPINK,4
Uh,Alpha,BLACKPINK,3
Uh,Alpha,Lady Gaga & BLACKPINK,3
Unwrap,Alpha,Lady Gaga & BLACKPINK,1
Up,Alpha,BLACKPINK,1
V,Alpha,BLACKPINK,2
WHOA,Alpha,BLACKPINK,2
Wake,Alpha,BLACKPINK,2
Wanna,Alpha,BLACKPINK,1
Want,Alpha,BLACKPINK,2
We,Alpha,BLACKPINK,15
What,Alpha,BLACKPINK,5
Whatta,Alpha,BLACKPINK,8
When,Alpha,BLACKPINK,2
Whenever,Alpha,BLACKPINK,1
While,Alpha,BLACKPINK,1
Who,Alpha,BLACKPINK,1
Why,Alpha,BLACKPINK,1
Willy,Alpha,BLACKPINK,1
Wonderin,Alpha,BLACKPINK,1
Workin,Alpha,BLACKPINK,2
Would,Alpha,BLACKPINK,4
Xs,Alpha,BLACKPINK,1
YAH,Alpha,BLACKPINK,94
